State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Bihar,SARAN,Rapeseed &Mustard,2003-04,Rabi,2813,Hectare,3463,Tonnes,1.231070032
Bihar,SHEIKHPURA,Rapeseed &Mustard,2001-02,Rabi,461,Hectare,244,Tonnes,0.529284165
Bihar,SHEIKHPURA,Rapeseed &Mustard,2002-03,Rabi,446,Hectare,167,Tonnes,0.374439462
Bihar,SHEIKHPURA,Rapeseed &Mustard,2003-04,Rabi,359,Hectare,256,Tonnes,0.713091922
Bihar,SHEOHAR,Rapeseed &Mustard,2001-02,Rabi,355,Hectare,243,Tonnes,0.684507042
Bihar,SHEOHAR,Rapeseed &Mustard,2002-03,Rabi,356,Hectare,214,Tonnes,0.601123596
Bihar,SHEOHAR,Rapeseed &Mustard,2003-04,Rabi,222,Hectare,167,Tonnes,0.752252252
Bihar,SITAMARHI,Rapeseed &Mustard,2001-02,Rabi,990,Hectare,678,Tonnes,0.684848485
Bihar,SITAMARHI,Rapeseed &Mustard,2002-03,Rabi,998,Hectare,596,Tonnes,0.597194389
Bihar,SITAMARHI,Rapeseed &Mustard,2003-04,Rabi,979,Hectare,754,Tonnes,0.770173647
Bihar,SIWAN,Rapeseed &Mustard,2001-02,Rabi,1988,Hectare,1529,Tonnes,0.769114688
Bihar,SIWAN,Rapeseed &Mustard,2002-03,Rabi,1930,Hectare,1789,Tonnes,0.926943005
Bihar,SIWAN,Rapeseed &Mustard,2003-04,Rabi,2028,Hectare,2107,Tonnes,1.038954635
Bihar,SUPAUL,Rapeseed &Mustard,2001-02,Rabi,2241,Hectare,2373,Tonnes,1.058902276
Bihar,SUPAUL,Rapeseed &Mustard,2002-03,Rabi,1713,Hectare,1262,Tonnes,0.736719206
Bihar,SUPAUL,Rapeseed &Mustard,2003-04,Rabi,1891,Hectare,1469,Tonnes,0.776837652
Bihar,VAISHALI,Rapeseed &Mustard,2001-02,Rabi,2430,Hectare,1618,Tonnes,0.665843621
Bihar,VAISHALI,Rapeseed &Mustard,2002-03,Rabi,2816,Hectare,1760,Tonnes,0.625
Bihar,VAISHALI,Rapeseed &Mustard,2003-04,Rabi,2369,Hectare,1341,Tonnes,0.566061629
Bihar,ARARIA,Rice,2001-02,Autumn,80515,Hectare,87320,Tonnes,1.084518413
Bihar,ARARIA,Rice,2001-02,Kharif,15573,Hectare,33183,Tonnes,2.130803313
Bihar,ARARIA,Rice,2001-02,Summer,29135,Hectare,21611,Tonnes,0.741753904
Bihar,ARARIA,Rice,2002-03,Autumn,24475,Hectare,20930,Tonnes,0.855158325
Bihar,ARARIA,Rice,2002-03,Summer,14783,Hectare,20669,Tonnes,1.398160049
Bihar,ARARIA,Rice,2002-03,Winter,82299,Hectare,95520,Tonnes,1.160645937
Bihar,ARARIA,Rice,2003-04,Autumn,25038,Hectare,28924,Tonnes,1.15520409
Bihar,ARARIA,Rice,2003-04,Summer,13862,Hectare,21226,Tonnes,1.531236474
Bihar,ARARIA,Rice,2003-04,Winter,83394,Hectare,118046,Tonnes,1.4155215
Bihar,ARWAL,Rice,2003-04,Autumn,10,Hectare,13,Tonnes,1.3
Bihar,ARWAL,Rice,2003-04,Summer,10,Hectare,13,Tonnes,1.3
Bihar,ARWAL,Rice,2003-04,Winter,31836,Hectare,54058,Tonnes,1.698014826
Bihar,AURANGABAD,Rice,2001-02,Autumn,163366,Hectare,344089,Tonnes,2.106246098
Bihar,AURANGABAD,Rice,2001-02,Summer,743,Hectare,971,Tonnes,1.306864065
Bihar,AURANGABAD,Rice,2002-03,Winter,176397,Hectare,334134,Tonnes,1.894215888
Bihar,AURANGABAD,Rice,2003-04,Winter,173050,Hectare,312702,Tonnes,1.807003756
Bihar,BANKA,Rice,2001-02,Autumn,102989,Hectare,130687,Tonnes,1.268941343
Bihar,BANKA,Rice,2001-02,Kharif,52,Hectare,106,Tonnes,2.038461538
Bihar,BANKA,Rice,2002-03,Winter,103299,Hectare,145882,Tonnes,1.412230515
Bihar,BANKA,Rice,2003-04,Kharif,100564,Hectare,150537,Tonnes,1.49692733
Bihar,BANKA,Rice,2003-04,Winter,100564,Hectare,150537,Tonnes,1.49692733
Bihar,BEGUSARAI,Rice,2001-02,Autumn,22536,Hectare,29097,Tonnes,1.291134185
Bihar,BEGUSARAI,Rice,2001-02,Kharif,342,Hectare,570,Tonnes,1.666666667
Bihar,BEGUSARAI,Rice,2001-02,Summer,5489,Hectare,2996,Tonnes,0.545818911
Bihar,BEGUSARAI,Rice,2002-03,Autumn,4958,Hectare,5188,Tonnes,1.046389673
Bihar,BEGUSARAI,Rice,2002-03,Summer,353,Hectare,521,Tonnes,1.47592068
Bihar,BEGUSARAI,Rice,2002-03,Winter,23986,Hectare,22764,Tonnes,0.949053615
Bihar,BEGUSARAI,Rice,2003-04,Autumn,4742,Hectare,6530,Tonnes,1.377056094
Bihar,BEGUSARAI,Rice,2003-04,Summer,328,Hectare,436,Tonnes,1.329268293
Bihar,BEGUSARAI,Rice,2003-04,Winter,21832,Hectare,29364,Tonnes,1.344998168
Bihar,BHAGALPUR,Rice,2001-02,Autumn,43555,Hectare,53843,Tonnes,1.236207094
Bihar,BHAGALPUR,Rice,2001-02,Kharif,496,Hectare,946,Tonnes,1.907258065
Bihar,BHAGALPUR,Rice,2001-02,Summer,1990,Hectare,2228,Tonnes,1.11959799
Bihar,BHAGALPUR,Rice,2002-03,Autumn,1162,Hectare,1330,Tonnes,1.144578313
Bihar,BHAGALPUR,Rice,2002-03,Summer,360,Hectare,551,Tonnes,1.530555556
Bihar,BHAGALPUR,Rice,2002-03,Winter,44438,Hectare,49677,Tonnes,1.117894595
Bihar,BHAGALPUR,Rice,2003-04,Autumn,1094,Hectare,1345,Tonnes,1.229433272
Bihar,BHAGALPUR,Rice,2003-04,Summer,406,Hectare,567,Tonnes,1.396551724
Bihar,BHAGALPUR,Rice,2003-04,Winter,43555,Hectare,55133,Tonnes,1.265824819
Bihar,BHOJPUR,Rice,2001-02,Autumn,110652,Hectare,242677,Tonnes,2.193155117
Bihar,BHOJPUR,Rice,2001-02,Kharif,9,Hectare,15,Tonnes,1.666666667
Bihar,BHOJPUR,Rice,2001-02,Summer,957,Hectare,1149,Tonnes,1.200626959
Bihar,BHOJPUR,Rice,2002-03,Autumn,994,Hectare,1190,Tonnes,1.197183099
Bihar,BHOJPUR,Rice,2002-03,Summer,9,Hectare,15,Tonnes,1.666666667
Bihar,BHOJPUR,Rice,2002-03,Winter,110682,Hectare,206288,Tonnes,1.863789957
Bihar,BHOJPUR,Rice,2003-04,Autumn,1001,Hectare,1255,Tonnes,1.253746254
Bihar,BHOJPUR,Rice,2003-04,Summer,7,Hectare,9,Tonnes,1.285714286
Bihar,BHOJPUR,Rice,2003-04,Winter,105425,Hectare,223506,Tonnes,2.120047427
Bihar,BUXAR,Rice,2001-02,Autumn,73347,Hectare,183073,Tonnes,2.495984839
Bihar,BUXAR,Rice,2002-03,Winter,67949,Hectare,170384,Tonnes,2.507527705
Bihar,BUXAR,Rice,2003-04,Autumn,5,Hectare,6,Tonnes,1.2
Bihar,BUXAR,Rice,2003-04,Winter,67873,Hectare,154414,Tonnes,2.275043095
Bihar,DARBHANGA,Rice,2001-02,Autumn,56659,Hectare,48341,Tonnes,0.853191902
Bihar,DARBHANGA,Rice,2001-02,Kharif,933,Hectare,1063,Tonnes,1.139335477
Bihar,DARBHANGA,Rice,2001-02,Summer,15146,Hectare,15757,Tonnes,1.040340684
Bihar,DARBHANGA,Rice,2002-03,Autumn,26770,Hectare,14628,Tonnes,0.546432574
Bihar,DARBHANGA,Rice,2002-03,Summer,2657,Hectare,3841,Tonnes,1.445615356
Bihar,DARBHANGA,Rice,2002-03,Winter,64638,Hectare,51628,Tonnes,0.798725208
Bihar,DARBHANGA,Rice,2003-04,Autumn,26026,Hectare,16740,Tonnes,0.643202951
Bihar,DARBHANGA,Rice,2003-04,Summer,3705,Hectare,5241,Tonnes,1.414574899
Bihar,DARBHANGA,Rice,2003-04,Winter,70987,Hectare,80021,Tonnes,1.127262738
Bihar,GAYA,Rice,2001-02,Autumn,152978,Hectare,257711,Tonnes,1.684627855
Bihar,GAYA,Rice,2001-02,Kharif,7,Hectare,12,Tonnes,1.714285714
Bihar,GAYA,Rice,2002-03,Summer,143,Hectare,219,Tonnes,1.531468531
Bihar,GAYA,Rice,2002-03,Winter,147292,Hectare,243850,Tonnes,1.655554952
Bihar,GAYA,Rice,2003-04,Autumn,1720,Hectare,2124,Tonnes,1.234883721
Bihar,GAYA,Rice,2003-04,Summer,144,Hectare,194,Tonnes,1.347222222
Bihar,GAYA,Rice,2003-04,Winter,159125,Hectare,244150,Tonnes,1.534328358
Bihar,GOPALGANJ,Rice,2001-02,Autumn,30016,Hectare,50185,Tonnes,1.671941631
Bihar,GOPALGANJ,Rice,2001-02,Kharif,35,Hectare,72,Tonnes,2.057142857
Bihar,GOPALGANJ,Rice,2001-02,Summer,64232,Hectare,74536,Tonnes,1.160418483
Bihar,GOPALGANJ,Rice,2002-03,Autumn,63321,Hectare,78016,Tonnes,1.232071509
Bihar,GOPALGANJ,Rice,2002-03,Summer,11,Hectare,19,Tonnes,1.727272727
Bihar,GOPALGANJ,Rice,2002-03,Winter,30865,Hectare,32083,Tonnes,1.039462174
Bihar,GOPALGANJ,Rice,2003-04,Autumn,61274,Hectare,91873,Tonnes,1.499379835
Bihar,GOPALGANJ,Rice,2003-04,Summer,11,Hectare,16,Tonnes,1.454545455
Bihar,GOPALGANJ,Rice,2003-04,Winter,29840,Hectare,42543,Tonnes,1.425703753
Bihar,JAMUI,Rice,2001-02,Autumn,37942,Hectare,27533,Tonnes,0.725660218
Bihar,JAMUI,Rice,2001-02,Kharif,39,Hectare,65,Tonnes,1.666666667
Bihar,JAMUI,Rice,2002-03,Winter,53386,Hectare,70195,Tonnes,1.314857828
Bihar,JAMUI,Rice,2003-04,Winter,52784,Hectare,60080,Tonnes,1.138223704
Bihar,JEHANABAD,Rice,2001-02,Autumn,84038,Hectare,163470,Tonnes,1.945191461
Bihar,JEHANABAD,Rice,2001-02,Kharif,2,Hectare,3,Tonnes,1.5
Bihar,JEHANABAD,Rice,2001-02,Summer,3,Hectare,3,Tonnes,1
Bihar,JEHANABAD,Rice,2002-03,Autumn,177,Hectare,194,Tonnes,1.096045198
Bihar,JEHANABAD,Rice,2002-03,Summer,2,Hectare,3,Tonnes,1.5
Bihar,JEHANABAD,Rice,2002-03,Winter,61161,Hectare,100482,Tonnes,1.642909697
Bihar,JEHANABAD,Rice,2003-04,Winter,44571,Hectare,80925,Tonnes,1.815642458
Bihar,KAIMUR (BHABUA),Rice,2001-02,Autumn,108386,Hectare,271151,Tonnes,2.501716089
Bihar,KAIMUR (BHABUA),Rice,2001-02,Summer,287,Hectare,327,Tonnes,1.139372822
Bihar,KAIMUR (BHABUA),Rice,2002-03,Autumn,129,Hectare,141,Tonnes,1.093023256
Bihar,KAIMUR (BHABUA),Rice,2002-03,Winter,93964,Hectare,246742,Tonnes,2.625920565
Bihar,KAIMUR (BHABUA),Rice,2003-04,Autumn,150,Hectare,181,Tonnes,1.206666667
Bihar,KAIMUR (BHABUA),Rice,2003-04,Winter,109797,Hectare,341697,Tonnes,3.112079565
Bihar,KATIHAR,Rice,2001-02,Autumn,74419,Hectare,86446,Tonnes,1.161611954
Bihar,KATIHAR,Rice,2001-02,Kharif,39998,Hectare,80525,Tonnes,2.013225661
Bihar,KATIHAR,Rice,2001-02,Summer,11394,Hectare,9235,Tonnes,0.810514306
Bihar,KATIHAR,Rice,2002-03,Autumn,11413,Hectare,10710,Tonnes,0.938403575
Bihar,KATIHAR,Rice,2002-03,Summer,43555,Hectare,78797,Tonnes,1.809137872
Bihar,KATIHAR,Rice,2002-03,Winter,75881,Hectare,78968,Tonnes,1.040682121
Bihar,KATIHAR,Rice,2003-04,Autumn,11522,Hectare,6698,Tonnes,0.581322687
Bihar,KATIHAR,Rice,2003-04,Summer,39255,Hectare,65936,Tonnes,1.679684117
Bihar,KATIHAR,Rice,2003-04,Winter,76062,Hectare,82863,Tonnes,1.089413899
Bihar,KHAGARIA,Rice,2001-02,Autumn,19260,Hectare,8781,Tonnes,0.455919003
Bihar,KHAGARIA,Rice,2001-02,Kharif,1001,Hectare,1670,Tonnes,1.668331668
Bihar,KHAGARIA,Rice,2001-02,Summer,8029,Hectare,4368,Tonnes,0.544027899
Bihar,KHAGARIA,Rice,2002-03,Autumn,8408,Hectare,2289,Tonnes,0.272240723
Bihar,KHAGARIA,Rice,2002-03,Summer,1806,Hectare,2626,Tonnes,1.454042082
Bihar,KHAGARIA,Rice,2002-03,Winter,16069,Hectare,1062,Tonnes,0.066089987
Bihar,KHAGARIA,Rice,2003-04,Autumn,6549,Hectare,4869,Tonnes,0.743472286
Bihar,KHAGARIA,Rice,2003-04,Summer,1987,Hectare,2664,Tonnes,1.340714645
Bihar,KHAGARIA,Rice,2003-04,Winter,15032,Hectare,14635,Tonnes,0.973589675
Bihar,KISHANGANJ,Rice,2001-02,Autumn,76335,Hectare,71635,Tonnes,0.938429292
Bihar,KISHANGANJ,Rice,2001-02,Kharif,11836,Hectare,21144,Tonnes,1.786414329
Bihar,KISHANGANJ,Rice,2001-02,Summer,7712,Hectare,5563,Tonnes,0.721343361
Bihar,KISHANGANJ,Rice,2002-03,Autumn,5944,Hectare,4360,Tonnes,0.733512786
Bihar,KISHANGANJ,Rice,2002-03,Summer,11262,Hectare,17451,Tonnes,1.54954715
Bihar,KISHANGANJ,Rice,2002-03,Winter,70170,Hectare,71989,Tonnes,1.025922759
Bihar,KISHANGANJ,Rice,2003-04,Autumn,5554,Hectare,4586,Tonnes,0.825711199
Bihar,KISHANGANJ,Rice,2003-04,Summer,11110,Hectare,13473,Tonnes,1.212691269
Bihar,KISHANGANJ,Rice,2003-04,Winter,86029,Hectare,128719,Tonnes,1.496228016
Bihar,LAKHISARAI,Rice,2001-02,Autumn,29093,Hectare,41233,Tonnes,1.417282508
Bihar,LAKHISARAI,Rice,2002-03,Autumn,143,Hectare,79,Tonnes,0.552447552
Bihar,LAKHISARAI,Rice,2002-03,Winter,33330,Hectare,48018,Tonnes,1.440684068
Bihar,LAKHISARAI,Rice,2003-04,Winter,30314,Hectare,42299,Tonnes,1.395361879
Bihar,MADHEPURA,Rice,2001-02,Autumn,67682,Hectare,74326,Tonnes,1.098164948
Bihar,MADHEPURA,Rice,2001-02,Kharif,1388,Hectare,2035,Tonnes,1.466138329
Bihar,MADHEPURA,Rice,2001-02,Summer,20395,Hectare,19326,Tonnes,0.947585192
Bihar,MADHEPURA,Rice,2002-03,Autumn,18530,Hectare,25397,Tonnes,1.370588235
Bihar,MADHEPURA,Rice,2002-03,Summer,1084,Hectare,1713,Tonnes,1.580258303
Bihar,MADHEPURA,Rice,2002-03,Winter,67055,Hectare,88118,Tonnes,1.314115279
Bihar,MADHEPURA,Rice,2003-04,Autumn,19287,Hectare,28937,Tonnes,1.500337015
Bihar,MADHEPURA,Rice,2003-04,Summer,1503,Hectare,2726,Tonnes,1.813705921
Bihar,MADHEPURA,Rice,2003-04,Winter,58335,Hectare,85354,Tonnes,1.463169624
Bihar,MADHUBANI,Rice,2001-02,Autumn,144032,Hectare,139005,Tonnes,0.965098034
Bihar,MADHUBANI,Rice,2001-02,Kharif,3362,Hectare,4879,Tonnes,1.451219512
Bihar,MADHUBANI,Rice,2001-02,Summer,32460,Hectare,29175,Tonnes,0.898798521
Bihar,MADHUBANI,Rice,2002-03,Autumn,33310,Hectare,29550,Tonnes,0.887120985
Bihar,MADHUBANI,Rice,2002-03,Summer,3284,Hectare,4775,Tonnes,1.454019488
Bihar,MADHUBANI,Rice,2002-03,Winter,145967,Hectare,106955,Tonnes,0.732734111
Bihar,MADHUBANI,Rice,2003-04,Autumn,37220,Hectare,34390,Tonnes,0.92396561
Bihar,MADHUBANI,Rice,2003-04,Summer,4106,Hectare,5840,Tonnes,1.422308816
Bihar,MADHUBANI,Rice,2003-04,Winter,135156,Hectare,136088,Tonnes,1.006895735
Bihar,MUNGER,Rice,2001-02,Autumn,26296,Hectare,37781,Tonnes,1.436758442
Bihar,MUNGER,Rice,2001-02,Kharif,167,Hectare,279,Tonnes,1.670658683
Bihar,MUNGER,Rice,2001-02,Summer,352,Hectare,465,Tonnes,1.321022727
Bihar,MUNGER,Rice,2002-03,Winter,23411,Hectare,27926,Tonnes,1.192858058
Bihar,MUNGER,Rice,2003-04,Summer,1,Hectare,1,Tonnes,1
Bihar,MUNGER,Rice,2003-04,Winter,25974,Hectare,38980,Tonnes,1.500731501
Bihar,MUZAFFARPUR,Rice,2001-02,Autumn,100084,Hectare,104783,Tonnes,1.046950562
Bihar,MUZAFFARPUR,Rice,2001-02,Kharif,800,Hectare,1464,Tonnes,1.83
Bihar,MUZAFFARPUR,Rice,2001-02,Summer,33832,Hectare,38296,Tonnes,1.131946087
Bihar,MUZAFFARPUR,Rice,2002-03,Autumn,37639,Hectare,42214,Tonnes,1.121549457
Bihar,MUZAFFARPUR,Rice,2002-03,Summer,50,Hectare,101,Tonnes,2.02
Bihar,MUZAFFARPUR,Rice,2002-03,Winter,108985,Hectare,116345,Tonnes,1.067532229
Bihar,MUZAFFARPUR,Rice,2003-04,Autumn,36908,Hectare,42681,Tonnes,1.156415953
Bihar,MUZAFFARPUR,Rice,2003-04,Summer,834,Hectare,848,Tonnes,1.016786571
Bihar,MUZAFFARPUR,Rice,2003-04,Winter,116374,Hectare,121729,Tonnes,1.046015433
Bihar,NALANDA,Rice,2001-02,Autumn,87819,Hectare,132648,Tonnes,1.510470399
Bihar,NALANDA,Rice,2002-03,Winter,93295,Hectare,83225,Tonnes,0.892062812
Bihar,NALANDA,Rice,2003-04,Autumn,2,Hectare,2,Tonnes,1
Bihar,NALANDA,Rice,2003-04,Winter,99064,Hectare,96889,Tonnes,0.978044496
Bihar,NAWADA,Rice,2001-02,Autumn,80793,Hectare,131486,Tonnes,1.627442972
Bihar,NAWADA,Rice,2001-02,Kharif,41,Hectare,75,Tonnes,1.829268293
Bihar,NAWADA,Rice,2002-03,Summer,44,Hectare,75,Tonnes,1.704545455
Bihar,NAWADA,Rice,2002-03,Winter,81062,Hectare,123521,Tonnes,1.523784264
Bihar,NAWADA,Rice,2003-04,Autumn,33,Hectare,40,Tonnes,1.212121212
Bihar,NAWADA,Rice,2003-04,Summer,47,Hectare,65,Tonnes,1.382978723
Bihar,NAWADA,Rice,2003-04,Winter,78394,Hectare,127325,Tonnes,1.624167666
Bihar,PASHCHIM CHAMPARAN,Rice,2001-02,Autumn,82008,Hectare,154952,Tonnes,1.889474198
Bihar,PASHCHIM CHAMPARAN,Rice,2001-02,Kharif,10612,Hectare,20316,Tonnes,1.914436487
Bihar,PASHCHIM CHAMPARAN,Rice,2001-02,Summer,65505,Hectare,95564,Tonnes,1.458881001
Bihar,PASHCHIM CHAMPARAN,Rice,2002-03,Autumn,60600,Hectare,107736,Tonnes,1.777821782
Bihar,PASHCHIM CHAMPARAN,Rice,2002-03,Summer,10346,Hectare,21144,Tonnes,2.043688382
Bihar,PASHCHIM CHAMPARAN,Rice,2002-03,Winter,90031,Hectare,167491,Tonnes,1.860370317
Bihar,PASHCHIM CHAMPARAN,Rice,2003-04,Autumn,60482,Hectare,101979,Tonnes,1.686104957
Bihar,PASHCHIM CHAMPARAN,Rice,2003-04,Summer,7660,Hectare,7992,Tonnes,1.043342037
Bihar,PASHCHIM CHAMPARAN,Rice,2003-04,Winter,89790,Hectare,117144,Tonnes,1.30464417
Bihar,PATNA,Rice,2001-02,Autumn,100152,Hectare,198176,Tonnes,1.978752297
Bihar,PATNA,Rice,2001-02,Kharif,163,Hectare,276,Tonnes,1.693251534
Bihar,PATNA,Rice,2001-02,Summer,4423,Hectare,5090,Tonnes,1.150802623
Bihar,PATNA,Rice,2002-03,Autumn,47,Hectare,54,Tonnes,1.14893617
Bihar,PATNA,Rice,2002-03,Summer,139,Hectare,205,Tonnes,1.474820144
Bihar,PATNA,Rice,2002-03,Winter,108208,Hectare,217917,Tonnes,2.013871433
Bihar,PATNA,Rice,2003-04,Summer,212,Hectare,309,Tonnes,1.45754717
Bihar,PATNA,Rice,2003-04,Winter,100766,Hectare,230257,Tonnes,2.285066391
Bihar,PURBI CHAMPARAN,Rice,2001-02,Autumn,118353,Hectare,143365,Tonnes,1.211333891
Bihar,PURBI CHAMPARAN,Rice,2001-02,Kharif,722,Hectare,1466,Tonnes,2.030470914
Bihar,PURBI CHAMPARAN,Rice,2001-02,Summer,82215,Hectare,131105,Tonnes,1.594660342
Bihar,PURBI CHAMPARAN,Rice,2002-03,Autumn,81372,Hectare,120629,Tonnes,1.482438677
Bihar,PURBI CHAMPARAN,Rice,2002-03,Summer,413,Hectare,859,Tonnes,2.079903148
Bihar,PURBI CHAMPARAN,Rice,2002-03,Winter,107882,Hectare,143059,Tonnes,1.326069224
Bihar,PURBI CHAMPARAN,Rice,2003-04,Autumn,62815,Hectare,91437,Tonnes,1.455655496
Bihar,PURBI CHAMPARAN,Rice,2003-04,Summer,317,Hectare,347,Tonnes,1.094637224
Bihar,PURBI CHAMPARAN,Rice,2003-04,Winter,107849,Hectare,150395,Tonnes,1.394496008
Bihar,PURNIA,Rice,2001-02,Autumn,77801,Hectare,63333,Tonnes,0.81403838
Bihar,PURNIA,Rice,2001-02,Kharif,20748,Hectare,43473,Tonnes,2.095286293
Bihar,PURNIA,Rice,2001-02,Summer,21846,Hectare,38924,Tonnes,1.781744942
Bihar,PURNIA,Rice,2002-03,Autumn,20792,Hectare,24332,Tonnes,1.170257791
Bihar,PURNIA,Rice,2002-03,Summer,17486,Hectare,25878,Tonnes,1.479926799
Bihar,PURNIA,Rice,2002-03,Winter,89089,Hectare,95548,Tonnes,1.072500533
Bihar,PURNIA,Rice,2003-04,Autumn,18467,Hectare,20512,Tonnes,1.110738073
Bihar,PURNIA,Rice,2003-04,Summer,20481,Hectare,28023,Tonnes,1.368243738
Bihar,PURNIA,Rice,2003-04,Winter,81449,Hectare,139874,Tonnes,1.717320041
Bihar,ROHTAS,Rice,2001-02,Autumn,196946,Hectare,490823,Tonnes,2.492170443
Bihar,ROHTAS,Rice,2001-02,Kharif,497,Hectare,1011,Tonnes,2.034205231
Bihar,ROHTAS,Rice,2001-02,Summer,282,Hectare,341,Tonnes,1.209219858
Bihar,ROHTAS,Rice,2002-03,Autumn,256,Hectare,298,Tonnes,1.1640625
Bihar,ROHTAS,Rice,2002-03,Summer,245,Hectare,365,Tonnes,1.489795918
Bihar,ROHTAS,Rice,2002-03,Winter,192790,Hectare,464920,Tonnes,2.411535868
Bihar,ROHTAS,Rice,2003-04,Autumn,323,Hectare,404,Tonnes,1.250773994
Bihar,ROHTAS,Rice,2003-04,Summer,16,Hectare,24,Tonnes,1.5
Bihar,ROHTAS,Rice,2003-04,Winter,195387,Hectare,516983,Tonnes,2.645943691
Bihar,SAHARSA,Rice,2001-02,Autumn,69810,Hectare,63710,Tonnes,0.912619968
Bihar,SAHARSA,Rice,2001-02,Kharif,7388,Hectare,12350,Tonnes,1.67162967
Bihar,SAHARSA,Rice,2001-02,Summer,16831,Hectare,16934,Tonnes,1.00611966
Bihar,SAHARSA,Rice,2002-03,Autumn,23605,Hectare,24062,Tonnes,1.019360305
Bihar,SAHARSA,Rice,2002-03,Summer,3875,Hectare,5844,Tonnes,1.508129032
Bihar,SAHARSA,Rice,2002-03,Winter,67206,Hectare,64183,Tonnes,0.955018897
Bihar,SAHARSA,Rice,2003-04,Autumn,19051,Hectare,22362,Tonnes,1.173796651
Bihar,SAHARSA,Rice,2003-04,Summer,2615,Hectare,3809,Tonnes,1.456596558
Bihar,SAHARSA,Rice,2003-04,Winter,66477,Hectare,81344,Tonnes,1.223641259
Bihar,SAMASTIPUR,Rice,2001-02,Autumn,51940,Hectare,55261,Tonnes,1.063939161
Bihar,SAMASTIPUR,Rice,2001-02,Kharif,1273,Hectare,1651,Tonnes,1.296936371
Bihar,SAMASTIPUR,Rice,2001-02,Summer,31385,Hectare,33879,Tonnes,1.079464712
Bihar,SAMASTIPUR,Rice,2002-03,Autumn,31792,Hectare,21335,Tonnes,0.671080775
Bihar,SAMASTIPUR,Rice,2002-03,Summer,1490,Hectare,2172,Tonnes,1.457718121
Bihar,SAMASTIPUR,Rice,2002-03,Winter,51695,Hectare,43373,Tonnes,0.839017313
Bihar,SAMASTIPUR,Rice,2003-04,Autumn,31888,Hectare,34327,Tonnes,1.076486453
Bihar,SAMASTIPUR,Rice,2003-04,Summer,1483,Hectare,2147,Tonnes,1.447741065
Bihar,SAMASTIPUR,Rice,2003-04,Winter,50432,Hectare,31522,Tonnes,0.625039657
Bihar,SARAN,Rice,2001-02,Autumn,61033,Hectare,77754,Tonnes,1.273966543
Bihar,SARAN,Rice,2001-02,Kharif,9,Hectare,18,Tonnes,2
Bihar,SARAN,Rice,2001-02,Summer,19132,Hectare,20200,Tonnes,1.055822705
Bihar,SARAN,Rice,2002-03,Autumn,16954,Hectare,16564,Tonnes,0.976996579
Bihar,SARAN,Rice,2002-03,Summer,427,Hectare,724,Tonnes,1.695550351
Bihar,SARAN,Rice,2002-03,Winter,69929,Hectare,81950,Tonnes,1.17190293
Bihar,SARAN,Rice,2003-04,Autumn,8705,Hectare,7434,Tonnes,0.853991959
Bihar,SARAN,Rice,2003-04,Summer,360,Hectare,539,Tonnes,1.497222222
Bihar,SARAN,Rice,2003-04,Winter,69859,Hectare,133513,Tonnes,1.91117823
Bihar,SHEIKHPURA,Rice,2001-02,Autumn,13046,Hectare,20193,Tonnes,1.547830753
Bihar,SHEIKHPURA,Rice,2002-03,Summer,33,Hectare,47,Tonnes,1.424242424
Bihar,SHEIKHPURA,Rice,2002-03,Winter,30340,Hectare,57000,Tonnes,1.878707976
Bihar,SHEIKHPURA,Rice,2003-04,Winter,29386,Hectare,38431,Tonnes,1.307799632
Bihar,SHEOHAR,Rice,2001-02,Autumn,18507,Hectare,21857,Tonnes,1.18101259
Bihar,SHEOHAR,Rice,2001-02,Kharif,53,Hectare,108,Tonnes,2.037735849
Bihar,SHEOHAR,Rice,2001-02,Summer,8400,Hectare,10920,Tonnes,1.3
Bihar,SHEOHAR,Rice,2002-03,Autumn,5671,Hectare,7764,Tonnes,1.369070711
Bihar,SHEOHAR,Rice,2002-03,Summer,52,Hectare,109,Tonnes,2.096153846
Bihar,SHEOHAR,Rice,2002-03,Winter,17801,Hectare,21667,Tonnes,1.21717881
Bihar,SHEOHAR,Rice,2003-04,Autumn,5670,Hectare,4218,Tonnes,0.743915344
Bihar,SHEOHAR,Rice,2003-04,Summer,53,Hectare,58,Tonnes,1.094339623
Bihar,SHEOHAR,Rice,2003-04,Winter,19587,Hectare,7795,Tonnes,0.39796804
Bihar,SITAMARHI,Rice,2001-02,Autumn,93883,Hectare,109753,Tonnes,1.169040188
Bihar,SITAMARHI,Rice,2001-02,Kharif,1260,Hectare,2419,Tonnes,1.91984127
Bihar,SITAMARHI,Rice,2001-02,Summer,28217,Hectare,34215,Tonnes,1.212566892
Bihar,SITAMARHI,Rice,2002-03,Autumn,23017,Hectare,28456,Tonnes,1.236303602
Bihar,SITAMARHI,Rice,2002-03,Summer,1251,Hectare,2536,Tonnes,2.027178257
Bihar,SITAMARHI,Rice,2002-03,Winter,82576,Hectare,80249,Tonnes,0.971819899
Bihar,SITAMARHI,Rice,2003-04,Autumn,22085,Hectare,30780,Tonnes,1.393706135
Bihar,SITAMARHI,Rice,2003-04,Summer,903,Hectare,914,Tonnes,1.012181617
Bihar,SITAMARHI,Rice,2003-04,Winter,80400,Hectare,99185,Tonnes,1.233644279
Bihar,SIWAN,Rice,2001-02,Autumn,63628,Hectare,82717,Tonnes,1.30000943
